"","pH","CE_uS_cm","As_com","B_com","Cu_com","Fe_com","Mn_com","Ni_com"
"n",76,76,76,76,76,76,76,76
"Vacios",0,0,0,0,0,0,0,0
"Minimo",4.3,62.8,4.05300040324094e-05,0.000494167965413248,0.000174696173521302,0.00406321648403461,5.63742312984486e-05,2.68346359842691e-06
"LI",5.645,-806.275,-0.0439375,-1.538,-0.0008875,-0.07875,-0.0454875,-0.00102910501818646
"Q1",7.4225,224.825,0.001475,0.02575,0.0014,0.027,0.003075,6.83579927254166e-05
"Me:diana",8.205,489.45,0.00665,0.0975,0.0019,0.0475,0.0108,4e-04
"Media",7.88513157894737,873.680657894737,0.0604183711752538,1.43572710215628,0.0122045066136784,0.103759667319181,0.202042923400613,0.00190609852869826
"Media Cortada",7.915,799.309864864865,0.0454831848556116,1.14695629183665,0.00437388927656812,0.0958198851320772,0.126583862219126,0.00143865952320905
"Q3",8.6075,912.225,0.03175,1.06825,0.002925,0.0975,0.03545,8e-04
"Maximo",9.26,7188,1.226,24.24,0.6037,0.791,5.988,0.0384
"LS",9.2,1255.925,0.0468875,1.5895,0.0036875,0.13275,0.0516375,0.00116582100363729
"IQR",1.185,687.4,0.030275,1.0425,0.001525,0.0705,0.032375,0.000731642007274584
"MAD",0.859907999999999,446.41086,0.00919212,0.139973141644625,0.00088956,0.0422541,0.01415883,0.000516599256018818
"Sd",1.07008596965671,1330.27917681699,0.200125791791392,4.02195619653861,0.0691189002489285,0.155713383405235,0.724587304555785,0.00559437370838925
"As",-1.36962847082137,3.38181467398735,4.61563768171208,4.05918864113815,8.24437507431354,2.94622269509368,6.77449624632979,4.57946680413908
"k",1.75198104602708,11.5693817257964,21.2910838659047,16.9243932546093,67.5683186349072,8.53955914067592,50.5885631487591,23.4364232122739
"CV",13.5709335848465,152.261488771252,331.233344922346,280.133751776235,566.339160089127,150.071205342473,358.630380297489,293.498663587439
